horse_id,date,x1,x2,x3,x4,x5,x6,x7,finishing_position,x9,x11,x13
1,2017-11-22,89,28,5,3,4,4,6,6,Lebron,121,13.4
1,2017-10-28,96,74,4,2,2,2,2,3,Reyes,115,3
1,2017-10-08,114,71,11,1,1,4,6,7,Cancel,120,51.75
1,2017-08-10,97,77,5,2,2,2,3,6,Carmouche,119,9.2
1,2017-07-08,80,72,9,6,6,8,9,9,Rosario,118,46.75
1,2017-06-14,86,76,5,5,5,6,7,7,"Santana,",117,25
1,2017-04-29,109,77,4,4,1,1,4,7,Carmouche,117,48.25
2,2017-11-27,96,66,6,6,7,7,3,4,Delgadillo,122,21.5
2,2017-11-10,85,55,2,3,1,1,1,5,Dominguez,122,2.8
2,2017-10-07,81,81,8,3,2,1,1,3,Dominguez,121,34.4
2,2017-02-25,38,65,3,5,7,7,6,6,Chamafi,120,65.6
2,2017-02-15,80,56,5,3,7,5,6,5,120,120,72.1
2,2017-01-28,86,30,14,12,6,8,10,14,Castillo,120,174.5
2,2017-01-15,68,55,5,12,3,4,5,10,"Monterrey,",120,39.6
2,2017-01-04,25,67,6,9,9,8,5,2,Rendon,120,53.5
3,2017-09-16,69,86,5,10,9,9,6,6,Cancel,120,8.3
3,2017-08-10,77,87,7,3,6,6,5,2,Castellano,119,2.9499999999999997
3,2017-07-02,60,87,9,10,10,10,5,4,118,118,15.9
3,2017-06-21,67,76,5,3,2,3,4,4,"Ortiz,",117,1.75
3,2017-05-25,87,72,6,6,5,4,3,3,"Ortiz,",118,5.2
4,2017-12-07,51,66,1,3,3,3,3,3,Lebron,121,8.5
4,2017-11-30,61,79,6,8,8,9,7,6,Cancel,121,25
4,2017-11-09,95,84,2,10,9,9,8,3,Cancel,121,38.25
4,2017-10-08,87,75,6,7,7,8,7,6,Arroyo,120,41.5
4,2017-08-26,79,88,5,9,10,10,7,6,Arroyo,118,20.7
4,2017-07-01,125,77,3,6,6,6,4,3,Arroyo,117,4.7
4,2017-04-30,85,83,8,12,12,12,11,9,Cancel,116,52.25
4,2016-12-18,63,NA,7,8,8,8,8,8,Maragh,120,26.75
5,2017-03-12,15,75,2,6,6,5,5,5,Karamanos,122,3.7
6,2017-11-30,57,75,2,1,7,7,6,6,Lebron,122,43.75
6,2017-04-21,76,9,7,5,6,7,7,8,"Camacho,",118,13.1
6,2017-04-08,74,66,4,1,4,4,4,5,"Camacho,",120,13.9
6,2017-03-11,86,84,2,1,1,2,2,4,"Camacho,",120,5.4
6,2017-02-11,78,90,2,1,3,4,4,3,Gazader,113,27.75
6,2017-01-14,78,69,4,1,1,3,6,8,Garcia,120,22
6,2016-12-18,97,51,9,1,1,3,4,4,Hernandez,120,40.5
6,2016-11-19,95,60,7,6,4,10,10,7,Montanez,120,53.75
6,2016-10-28,53,63,7,1,2,5,6,3,"Camacho,",120,28.75
